timestamp,raw_l,raw_r,norm_l,norm_r,correction,speed_l,speed_r
1782214246.257172,6,62,-1.0,0.8666666666666667,0.8285714285714287,13.314285714285715,5
1782214246.31666,6,62,-1.0,0.8666666666666667,0.8285714285714287,13.314285714285715,5
1782214246.502597,35,60,-0.033333333333333326,0.8,0.7749999999999999,13.1,5
1782214246.5504568,43,59,0.2333333333333334,0.7666666666666666,0.0,10.0,10.0
1782214246.6054533,49,59,0.43333333333333335,0.7666666666666666,0.0,10.0,10.0
1782214246.7914076,55,56,0.6333333333333333,0.6666666666666667,0.0,10.0,10.0
1782214246.834616,56,53,0.6666666666666667,0.5666666666666667,0.0,10.0,10.0
1782214246.876514,56,49,0.6666666666666667,0.43333333333333335,0.0,10.0,10.0
1782214247.056459,58,25,0.7333333333333334,-0.3666666666666667,-0.8177215189873417,5,13.270886075949367
1782214247.1013064,59,22,0.7666666666666666,-0.4666666666666667,-0.8285714285714287,5,13.314285714285715
1782214247.157901,59,17,0.7666666666666666,-0.6333333333333333,-0.8285714285714287,5,13.314285714285715
1782214247.330514,61,16,0.8333333333333333,-0.6666666666666667,-0.8285714285714287,5,13.314285714285715
1782214247.3771696,60,17,0.8,-0.6333333333333333,-0.8285714285714287,5,13.314285714285715
1782214247.4300148,60,17,0.8,-0.6333333333333333,-0.8285714285714287,5,13.314285714285715
1782214247.6033626,59,20,0.7666666666666666,-0.5333333333333333,-0.8285714285714287,5,13.314285714285715
1782214247.6443517,59,20,0.7666666666666666,-0.5333333333333333,-0.8285714285714287,5,13.314285714285715
1782214247.6980987,58,22,0.7333333333333334,-0.4666666666666667,-0.8285714285714287,5,13.314285714285715
1782214247.8855345,58,29,0.7333333333333334,-0.23333333333333328,-0.7750000000000001,5,13.100000000000001
1782214247.9303331,58,33,0.7333333333333334,-0.09999999999999998,-0.775,5,13.1
1782214247.97709,57,35,0.7,-0.033333333333333326,-0.7749999999999999,5,13.1
1782214248.162595,57,51,0.7,0.5,0.0,10.0,10.0
1782214248.206108,57,54,0.7,0.6000000000000001,0.0,10.0,10.0
1782214248.2620132,58,56,0.7333333333333334,0.6666666666666667,0.0,10.0,10.0
1782214248.463355,57,55,0.7,0.6333333333333333,0.0,10.0,10.0
1782214248.5116384,57,55,0.7,0.6333333333333333,0.0,10.0,10.0
1782214248.5556319,56,55,0.6666666666666667,0.6333333333333333,0.0,10.0,10.0
1782214248.74152,52,42,0.5333333333333334,0.19999999999999996,0.0,10.0,10.0
1782214248.7997458,50,41,0.46666666666666656,0.16666666666666674,0.0,10.0,10.0
1782214248.977488,50,33,0.46666666666666656,-0.09999999999999998,-0.775,5,13.1
1782214249.0203323,50,30,0.46666666666666656,-0.19999999999999996,-0.775,5,13.1
1782214249.072998,50,30,0.46666666666666656,-0.19999999999999996,-0.775,5,13.1
1782214249.2594984,54,49,0.6000000000000001,0.43333333333333335,0.0,10.0,10.0
1782214249.3064487,55,52,0.6333333333333333,0.5333333333333334,0.0,10.0,10.0
1782214249.3497772,56,53,0.6666666666666667,0.5666666666666667,0.0,10.0,10.0
1782214249.5261073,56,52,0.6666666666666667,0.5333333333333334,0.0,10.0,10.0
1782214249.575288,55,52,0.6333333333333333,0.5333333333333334,0.0,10.0,10.0
1782214249.752183,55,51,0.6333333333333333,0.5,0.0,10.0,10.0
1782214249.795972,54,51,0.6000000000000001,0.5,0.0,10.0,10.0
1782214249.8498986,54,52,0.6000000000000001,0.5333333333333334,0.0,10.0,10.0
1782214250.0329587,56,54,0.6666666666666667,0.6000000000000001,0.0,10.0,10.0
1782214250.074382,56,55,0.6666666666666667,0.6333333333333333,0.0,10.0,10.0
1782214250.1352048,56,56,0.6666666666666667,0.6666666666666667,0.0,10.0,10.0
1782214250.3206618,56,61,0.6666666666666667,0.8333333333333333,0.0,10.0,10.0
1782214250.367524,56,62,0.6666666666666667,0.8666666666666667,0.0,10.0,10.0
1782214250.4132862,56,62,0.6666666666666667,0.8666666666666667,0.0,10.0,10.0
1782214250.6064308,55,62,0.6333333333333333,0.8666666666666667,0.0,10.0,10.0
1782214250.664088,55,63,0.6333333333333333,0.8999999999999999,0.0,10.0,10.0
1782214250.849976,56,62,0.6666666666666667,0.8666666666666667,0.0,10.0,10.0
1782214250.8932872,56,61,0.6666666666666667,0.8333333333333333,0.0,10.0,10.0
1782214250.9426522,56,62,0.6666666666666667,0.8666666666666667,0.0,10.0,10.0
1782214251.1210654,57,59,0.7,0.7666666666666666,0.0,10.0,10.0
1782214251.1899529,57,58,0.7,0.7333333333333334,0.0,10.0,10.0
1782214251.3478944,56,56,0.6666666666666667,0.6666666666666667,0.0,10.0,10.0
1782214251.3963065,55,56,0.6333333333333333,0.6666666666666667,0.0,10.0,10.0
1782214251.4460623,55,55,0.6333333333333333,0.6333333333333333,0.0,10.0,10.0
1782214251.631108,52,54,0.5333333333333334,0.6000000000000001,0.0,10.0,10.0
1782214251.6739593,50,54,0.46666666666666656,0.6000000000000001,0.0,10.0,10.0
1782214251.7345273,50,54,0.46666666666666656,0.6000000000000001,0.0,10.0,10.0
1782214251.9036558,48,53,0.3999999999999999,0.5666666666666667,0.0,10.0,10.0
1782214251.9535267,47,53,0.3666666666666667,0.5666666666666667,0.0,10.0,10.0
1782214252.0097513,48,54,0.3999999999999999,0.6000000000000001,0.0,10.0,10.0
1782214252.1903498,48,54,0.3999999999999999,0.6000000000000001,0.0,10.0,10.0
1782214252.234169,47,55,0.3666666666666667,0.6333333333333333,0.0,10.0,10.0
1782214252.283126,48,57,0.3999999999999999,0.7,0.0,10.0,10.0
1782214252.4664884,48,56,0.3999999999999999,0.6666666666666667,0.0,10.0,10.0
1782214252.5113308,48,57,0.3999999999999999,0.7,0.0,10.0,10.0
1782214252.5561,48,57,0.3999999999999999,0.7,0.0,10.0,10.0
1782214252.7562943,49,59,0.43333333333333335,0.7666666666666666,0.0,10.0,10.0
1782214252.8055332,49,60,0.43333333333333335,0.8,0.0,10.0,10.0
1782214252.8505468,50,60,0.46666666666666656,0.8,0.0,10.0,10.0
1782214253.025782,49,59,0.43333333333333335,0.7666666666666666,0.0,10.0,10.0
1782214253.067729,49,60,0.43333333333333335,0.8,0.0,10.0,10.0
1782214253.1172554,49,59,0.43333333333333335,0.7666666666666666,0.0,10.0,10.0
1782214253.2944674,49,59,0.43333333333333335,0.7666666666666666,0.0,10.0,10.0
1782214253.3411858,49,59,0.43333333333333335,0.7666666666666666,0.0,10.0,10.0
1782214253.3914874,49,59,0.43333333333333335,0.7666666666666666,0.0,10.0,10.0
1782214253.5745168,51,59,0.5,0.7666666666666666,0.0,10.0,10.0
1782214253.6177166,51,59,0.5,0.7666666666666666,0.0,10.0,10.0
1782214253.663979,51,59,0.5,0.7666666666666666,0.0,10.0,10.0
1782214253.8457763,51,58,0.5,0.7333333333333334,0.0,10.0,10.0
1782214253.895946,51,57,0.5,0.7,0.0,10.0,10.0
1782214253.9377635,51,57,0.5,0.7,0.0,10.0,10.0
1782214254.1209033,51,56,0.5,0.6666666666666667,0.0,10.0,10.0
1782214254.1653488,51,56,0.5,0.6666666666666667,0.0,10.0,10.0
1782214254.2132916,52,56,0.5333333333333334,0.6666666666666667,0.0,10.0,10.0
1782214254.4141657,52,55,0.5333333333333334,0.6333333333333333,0.0,10.0,10.0
1782214254.4616082,51,55,0.5,0.6333333333333333,0.0,10.0,10.0
1782214254.5233655,51,53,0.5,0.5666666666666667,0.0,10.0,10.0
1782214254.723319,48,53,0.3999999999999999,0.5666666666666667,0.0,10.0,10.0
1782214254.7674704,46,53,0.33333333333333326,0.5666666666666667,0.0,10.0,10.0
1782214254.943971,39,52,0.10000000000000009,0.5333333333333334,0.0,10.0,10.0
1782214255.000455,37,52,0.03333333333333344,0.5333333333333334,0.0,10.0,10.0
1782214255.1823728,29,55,-0.23333333333333328,0.6333333333333333,0.7750000000000001,13.100000000000001,5
1782214255.225525,24,55,-0.4,0.6333333333333333,0.8285714285714287,13.314285714285715,5
1782214255.2751157,23,56,-0.43333333333333335,0.6666666666666667,0.8285714285714287,13.314285714285715,5
1782214255.4659107,34,59,-0.06666666666666665,0.7666666666666666,0.7749999999999999,13.1,5
1782214255.5173035,37,61,0.03333333333333344,0.8333333333333333,0.0,10.0,10.0
1782214255.7095969,44,61,0.2666666666666666,0.8333333333333333,0.0,10.0,10.0
1782214255.7541387,46,62,0.33333333333333326,0.8666666666666667,0.0,10.0,10.0
1782214255.8113632,49,63,0.43333333333333335,0.8999999999999999,0.0,10.0,10.0
1782214256.048659,49,61,0.43333333333333335,0.8333333333333333,0.0,10.0,10.0
1782214256.105346,49,62,0.43333333333333335,0.8666666666666667,0.0,10.0,10.0
1782214256.3015485,51,62,0.5,0.8666666666666667,0.0,10.0,10.0
1782214256.3431861,53,63,0.5666666666666667,0.8999999999999999,0.0,10.0,10.0
1782214256.4016974,53,63,0.5666666666666667,0.8999999999999999,0.0,10.0,10.0
1782214256.6145196,54,62,0.6000000000000001,0.8666666666666667,0.0,10.0,10.0
1782214256.6726153,54,62,0.6000000000000001,0.8666666666666667,0.0,10.0,10.0
1782214256.8555453,55,64,0.6333333333333333,0.9333333333333333,0.0,10.0,10.0
1782214256.900547,56,64,0.6666666666666667,0.9333333333333333,0.0,10.0,10.0
1782214256.9525394,57,65,0.7,0.9666666666666666,0.0,10.0,10.0
1782214257.1513731,61,66,0.8333333333333333,1.0,0.0,10.0,10.0
1782214257.2164552,60,64,0.8,0.9333333333333333,0.0,10.0,10.0
1782214257.4020016,63,56,0.8999999999999999,0.6666666666666667,0.0,10.0,10.0
1782214257.4453773,63,51,0.8999999999999999,0.5,0.0,10.0,10.0
1782214257.494223,64,44,0.9333333333333333,0.2666666666666666,0.0,10.0,10.0
1782214257.69598,62,17,0.8666666666666667,-0.6333333333333333,-0.8285714285714287,5,13.314285714285715
1782214257.7522442,63,13,0.8999999999999999,-0.7666666666666666,-0.8285714285714287,5,13.314285714285715
1782214257.9531589,57,37,0.7,0.03333333333333344,0.0,10.0,10.0
1782214258.004417,57,41,0.7,0.16666666666666674,0.0,10.0,10.0
1782214258.0511122,56,41,0.6666666666666667,0.16666666666666674,0.0,10.0,10.0
1782214258.2593856,56,44,0.6666666666666667,0.2666666666666666,0.0,10.0,10.0
1782214258.305606,56,43,0.6666666666666667,0.2333333333333334,0.0,10.0,10.0
1782214258.3564887,57,45,0.7,0.30000000000000004,0.0,10.0,10.0
1782214258.6205971,62,48,0.8666666666666667,0.3999999999999999,0.0,10.0,10.0
1782214258.666445,63,49,0.8999999999999999,0.43333333333333335,0.0,10.0,10.0
1782214258.842403,67,55,1.0,0.6333333333333333,0.0,10.0,10.0
1782214258.908132,66,57,1.0,0.7,0.0,10.0,10.0
1782214259.1194026,67,62,1.0,0.8666666666666667,0.0,10.0,10.0
1782214259.1797073,67,63,1.0,0.8999999999999999,0.0,10.0,10.0
1782214259.367759,54,62,0.6000000000000001,0.8666666666666667,0.0,10.0,10.0
1782214259.414142,49,62,0.43333333333333335,0.8666666666666667,0.0,10.0,10.0
1782214259.4599752,43,61,0.2333333333333334,0.8333333333333333,0.0,10.0,10.0
1782214259.6360815,52,69,0.5333333333333334,1.0,0.0,10.0,10.0
1782214259.6853302,52,67,0.5333333333333334,1.0,0.0,10.0,10.0
1782214259.7294745,54,68,0.6000000000000001,1.0,0.0,10.0,10.0
1782214259.8950982,51,64,0.5,0.9333333333333333,0.0,10.0,10.0
1782214259.9482102,44,65,0.2666666666666666,0.9666666666666666,0.0,10.0,10.0
1782214260.131199,19,59,-0.5666666666666667,0.7666666666666666,0.8285714285714287,13.314285714285715,5
1782214260.174288,15,58,-0.7,0.7333333333333334,0.8285714285714287,13.314285714285715,5
1782214260.2246604,12,56,-0.8,0.6666666666666667,0.8285714285714287,13.314285714285715,5
1782214260.403569,5,53,-1.0,0.5666666666666667,0.8285714285714287,13.314285714285715,5
1782214260.4445035,4,53,-1.0,0.5666666666666667,0.8285714285714287,13.314285714285715,5
1782214260.4935236,4,61,-1.0,0.8333333333333333,0.8285714285714287,13.314285714285715,5
1782214260.6660976,18,66,-0.6,1.0,0.8285714285714287,13.314285714285715,5
1782214260.712608,24,67,-0.4,1.0,0.8285714285714287,13.314285714285715,5
1782214260.7597737,32,69,-0.1333333333333333,1.0,0.7749999999999999,13.1,5
1782214260.933003,35,70,-0.033333333333333326,1.0,0.7749999999999999,13.1,5
1782214260.9839013,28,70,-0.2666666666666667,1.0,0.7749999999999999,13.1,5
1782214261.0276685,18,70,-0.6,1.0,0.8285714285714287,13.314285714285715,5
1782214261.1955326,4,68,-1.0,1.0,0.8285714285714287,13.314285714285715,5
1782214261.2398481,4,67,-1.0,1.0,0.8285714285714287,13.314285714285715,5
1782214261.2920992,4,66,-1.0,1.0,0.8285714285714287,13.314285714285715,5
1782214261.4695833,30,68,-0.19999999999999996,1.0,0.775,13.1,5
1782214261.515407,41,67,0.16666666666666674,1.0,0.0,10.0,10.0
1782214261.5596912,47,67,0.3666666666666667,1.0,0.0,10.0,10.0
1782214261.7455764,52,63,0.5333333333333334,0.8999999999999999,0.0,10.0,10.0
1782214261.797238,52,62,0.5333333333333334,0.8666666666666667,0.0,10.0,10.0
1782214261.8406775,51,62,0.5,0.8666666666666667,0.0,10.0,10.0
